replay_id,channel,rank,windows_used,responsive_threshold,flow_ip_src,flow_ip_dst,flow_udp_sport,flow_udp_dport,frame_len,offset,width,encoding,delta_view,score,sine_cycles,responsiveness,affine_scale,affine_offset
16_y,y,5,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,2,int16_le,True,0.0922836564981771,3.0,5412.9480514340175,-1.9155079288499432e-08,-0.0004306270444372462
16_y,y,6,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,4,uint32_be,False,0.09154550197646856,1.0,2706.4740257170088,1.257316478691314e-13,-0.0002718012431572034
16_y,y,7,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,2,uint16_be,False,0.09154548863239402,1.0,5412.9480514340175,8.240385425563911e-09,-0.00027181453698171647
16_y,y,8,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,2,uint16_be,True,0.0873911663012863,3.0,5412.9480514340175,-7.885484033124381e-09,-0.00042879726642640147
16_y,y,9,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,4,uint32_be,True,0.08739116576329593,3.0,2706.4740257170088,-1.203223744692832e-13,-0.0004287972617311708
16_y,y,10,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,2,int16_be,True,0.08581233188590275,3.0,5412.9480514340175,-1.1403833871222405e-09,-0.0004281782499156051
16_y,y,11,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,4,int32_be,True,0.08581233153110972,3.0,2706.4740257170088,-1.7400276794357162e-14,-0.00042817825079904243
16_y,y,12,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,2,uint16_le,True,0.08564379637771098,1.0,5412.9480514340175,5.176774602279615e-09,-0.00014333477100351158
16_y,y,13,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,4,float32_le,True,0.04724690826558273,3.0,2706.4740257170088,0.024025853526733414,-0.0004525571637221999
16_y,y,14,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,4,int32_le,True,0.04724690826558273,3.0,2706.4740257170088,5.728209859546045e-09,-0.0004525571637221999
16_y,y,15,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,4,uint32_le,True,0.04724690826558273,3.0,2706.4740257170088,5.728209859546045e-09,-0.0004525571637221999
16_y,y,16,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,4,float32_le,False,0.0126747002218372,3.0,2706.4740257170088,0.0296982746750625,-0.075274845763163
16_y,y,17,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,4,int32_le,False,0.012674700221837198,3.0,2706.4740257170088,7.080620449797554e-09,-7.61863661323037
16_y,y,18,3,10356.479634438758,192.168.1.6,192.168.1.14,52428,60376,152,42,4,uint32_le,False,0.012674700221837198,3.0,2706.4740257170088,7.080620449797554e-09,-7.61863661323037
